#V       A       mT
0       0       4
7,3     1       57
14,6    2       112
21,9    3       169
29,3    4       226
36,6    5       281
43,9    6       336
51,3    7       389
58,7    8       438
66      9       480
73,7    10      516
80,1    10.84   542
74,2    10      519
66,8    9       487
59,5    8       447
52      7       398
44,6    6       345
37,2    5       289
29,7    4       233
22,3    3       176
14,8    2       118
7,4     1       62
0       0       5
0       0       3
7,4     -1      -52
14,8    -2      -109
22,2    -3      -165
29,7    -4      -222
37      -5      -278
44,5    -6      -333
51,9    -7      -386
59,4    -8      -437
66,8    -9      -481
74,3    -10     -517
80,1    -10.76  -541
74,6    -10     -520
67,2    -9      -488
59,8    -8      -449
52,3    -7      -400
44,9    -6      -346
37,4    -5      -290
29,9    -4      -233
22,4    -3      -177
14,9    -2      -119
7,5     -1      -63
0       0       -5
